loan_id,customer_id,loan_amount,interest_rate,start_date,end_date,status
45,75,14673.44,11.34,2025-04-29,2027-06-23,defaulted
46,212,28004.22,8.47,2020-12-24,2024-03-13,closed
47,219,44145.39,4.51,2023-04-27,2024-06-25,defaulted
48,99,27596.99,11.17,2022-10-25,2025-08-19,closed
49,419,23567.0,12.79,2025-06-16,2025-09-07,closed
50,26,36542.27,10.74,2021-05-07,2024-07-03,closed
51,195,33869.48,9.03,2021-06-08,2022-06-16,closed
52,122,43959.09,12.05,2020-09-20,2022-10-04,active
53,7,4757.44,4.02,2021-02-04,2023-10-25,defaulted
54,400,26456.56,7.7,2024-08-30,2025-03-04,defaulted
55,457,32064.14,9.35,2024-05-03,2024-05-09,defaulted
56,275,30481.42,4.87,2025-04-26,2027-02-04,closed
57,167,4667.96,3.73,2025-05-13,2027-05-24,closed
58,432,10433.3,13.17,2023-03-15,2026-04-27,closed
59,323,27300.84,4.95,2020-11-06,2020-12-11,defaulted
60,150,41555.88,8.63,2023-01-22,2024-01-09,defaulted
61,138,39592.67,14.38,2020-11-01,2027-06-14,active
62,130,36118.4,9.48,2023-01-03,2023-06-06,defaulted
63,418,47730.71,7.33,2020-08-21,2027-05-04,closed
64,268,7239.82,11.17,2021-10-19,2027-02-24,closed
65,104,44744.04,6.22,2021-06-03,2026-11-09,defaulted
66,285,2596.55,10.07,2021-04-14,2026-04-30,defaulted
67,303,41037.79,12.57,2023-08-29,2024-04-06,closed
68,110,41503.11,11.97,2023-07-12,2027-06-25,active
69,44,17648.34,7.5,2022-01-04,2024-11-20,closed
70,484,14613.99,10.01,2022-12-20,2026-08-12,defaulted
71,155,23163.22,12.64,2024-11-07,2027-03-31,defaulted
72,241,48558.09,13.74,2024-10-06,2026-01-23,defaulted
73,221,16393.83,7.39,2023-02-26,2023-06-30,closed
74,252,46799.26,7.94,2020-08-23,2024-10-23,active
75,328,25440.0,14.32,2022-07-10,2026-02-06,closed
76,480,38376.43,13.34,2020-10-08,2022-01-01,active
77,363,1346.21,13.64,2020-09-03,2021-08-28,active
78,26,19885.61,6.73,2021-10-12,2021-12-31,active
79,303,23055.14,4.17,2024-05-18,2024-08-25,active
80,239,48476.32,12.04,2025-06-19,2027-04-23,active
81,141,31971.76,10.5,2023-06-27,2025-03-31,closed
82,247,47889.47,8.21,2022-02-15,2027-02-02,defaulted
83,256,7914.4,9.25,2023-03-24,2025-04-12,active
84,50,38909.0,3.45,2022-06-29,2024-11-14,defaulted
85,28,14311.28,10.62,2023-03-04,2025-11-07,defaulted
86,493,14258.91,3.08,2023-10-13,2025-04-07,closed
87,199,40257.66,3.28,2021-04-29,2026-06-23,defaulted
88,224,22457.09,8.91,2024-04-08,2024-10-04,active
89,238,48323.15,6.2,2024-12-08,2025-01-25,closed
90,199,8947.2,11.25,2020-10-23,2022-07-05,defaulted
91,359,38741.02,12.01,2021-12-19,2025-07-25,defaulted
92,345,11685.34,10.0,2024-08-01,2026-08-27,closed
93,460,33446.55,3.42,2021-08-30,2022-02-12,closed
94,297,13466.32,6.68,2024-04-11,2025-10-25,closed
95,408,29233.54,12.42,2021-05-20,2021-07-31,active
96,368,13806.88,5.61,2022-12-26,2023-08-11,active
97,218,17759.56,13.05,2022-03-04,2025-03-27,defaulted
98,481,2900.09,10.87,2020-08-18,2022-04-22,active
99,109,41616.08,8.95,2024-10-13,2025-12-29,active
100,325,7048.39,6.08,2021-10-23,2024-08-09,defaulted
101,141,30296.9,10.21,2025-04-12,2025-08-12,closed
102,148,25456.58,4.56,2025-04-30,2025-05-28,defaulted
103,476,39866.77,7.72,2022-11-15,2024-10-05,closed
104,8,29124.25,5.33,2021-09-30,2024-05-27,defaulted
105,292,14115.99,11.52,2022-08-01,2024-11-29,active
106,465,34069.59,12.6,2023-08-24,2026-06-03,closed
107,17,37521.47,5.55,2025-01-24,2025-11-16,active
108,434,27829.99,11.4,2021-09-30,2026-11-27,defaulted
109,309,38877.26,11.97,2022-10-04,2027-03-12,active
110,451,43472.91,6.17,2024-02-09,2027-04-13,defaulted
111,263,49730.79,10.65,2021-09-16,2026-07-12,defaulted
112,326,18592.45,6.07,2024-08-18,2026-02-08,defaulted
113,399,3281.47,7.28,2021-11-09,2024-08-03,closed
114,309,30327.96,3.43,2022-02-15,2024-11-11,defaulted
115,180,2685.15,6.87,2021-09-18,2026-02-13,defaulted
116,223,8062.32,14.13,2020-08-23,2020-10-08,closed
117,190,23088.27,3.73,2022-02-23,2026-05-07,active
118,453,47004.44,11.64,2024-03-27,2027-06-20,defaulted
119,416,40187.23,14.37,2021-09-15,2026-05-15,active
120,405,48336.28,3.02,2022-06-11,2022-09-26,defaulted
121,354,6903.54,14.53,2021-04-04,2022-01-05,active
122,361,35899.52,12.1,2022-09-22,2026-07-15,defaulted
123,493,46242.28,14.7,2020-09-15,2021-04-24,defaulted
124,496,3125.35,6.69,2023-10-12,2024-08-09,active
125,472,3426.82,11.92,2021-05-27,2021-06-07,closed
126,447,13483.54,7.66,2024-05-24,2027-02-18,defaulted
127,155,29699.16,5.53,2021-05-26,2025-02-15,closed
128,464,19367.28,14.63,2023-07-24,2027-04-13,defaulted
129,125,44036.35,6.6,2023-11-02,2025-08-15,closed
130,358,4004.46,12.55,2022-07-01,2027-02-13,closed
131,469,13153.19,5.01,2021-04-23,2022-02-12,closed
132,178,46995.69,11.1,2021-11-20,2022-09-04,defaulted
133,199,24781.79,11.77,2024-06-26,2026-12-12,closed
134,126,9578.31,3.85,2021-02-28,2021-10-18,closed
135,419,3870.48,5.39,2022-02-01,2026-10-09,active
136,301,13214.95,3.0,2023-11-05,2023-11-29,closed
137,220,36561.48,7.12,2021-03-05,2024-04-22,defaulted
138,46,43315.29,9.95,2024-04-13,2025-01-01,closed
139,10,20597.36,8.79,2022-01-23,2026-09-12,defaulted
140,480,4476.91,9.24,2023-03-12,2026-03-09,closed
141,170,16801.16,3.06,2025-05-20,2027-01-12,defaulted
142,281,20109.38,5.15,2021-02-02,2024-02-29,defaulted
143,218,39215.14,4.27,2024-05-17,2026-02-28,defaulted
144,118,29545.4,10.36,2022-07-22,2022-09-28,defaulted
145,113,49597.49,13.89,2025-05-13,2027-06-28,closed
146,48,33725.62,12.57,2020-10-22,2026-10-30,closed
147,233,36521.69,14.27,2024-01-30,2026-06-10,closed
148,437,3300.41,5.18,2025-07-22,2026-03-27,closed
149,423,12571.89,4.33,2022-05-23,2023-02-19,closed
150,157,7501.56,11.29,2022-05-24,2023-09-13,defaulted
151,434,41194.88,8.02,2021-03-31,2023-06-19,closed
152,68,31473.79,13.06,2023-10-07,2024-07-26,defaulted
153,54,44262.75,7.29,2020-12-01,2025-12-04,active
154,227,22754.19,9.65,2025-04-05,2025-04-14,defaulted
155,240,4259.07,9.44,2021-08-31,2021-09-16,active
156,201,46180.8,8.01,2021-07-28,2024-09-07,closed
157,150,10530.82,14.35,2024-08-05,2027-03-13,active
158,356,15538.44,3.26,2024-04-16,2026-04-23,active
159,188,7472.54,11.19,2024-01-09,2024-09-25,active
160,83,26430.82,8.47,2025-08-14,2026-05-23,closed
161,156,16628.57,6.05,2020-10-22,2024-09-28,closed
162,33,18968.05,13.16,2025-02-16,2025-08-28,defaulted
163,307,11830.79,11.69,2021-10-27,2022-02-25,active
164,106,36357.11,9.11,2021-07-12,2027-06-14,closed
165,365,10694.2,12.77,2022-04-26,2026-07-28,active
166,370,8077.5,12.4,2025-07-09,2026-09-16,closed
167,441,11650.11,12.33,2023-08-15,2026-10-17,defaulted
168,123,15501.64,7.0,2022-11-14,2023-10-04,active
169,71,19253.3,3.91,2025-07-09,2026-04-24,closed
170,90,27458.56,3.8,2022-04-24,2025-01-30,active
171,44,43552.93,5.66,2024-12-24,2027-02-28,active
172,108,25485.8,11.22,2024-01-16,2025-02-13,defaulted
173,131,39149.73,6.63,2023-10-21,2026-12-17,defaulted
174,435,43572.28,9.66,2024-05-23,2026-02-23,closed
175,22,29397.08,13.3,2022-01-08,2022-05-30,active
176,152,7150.53,11.15,2025-04-20,2026-05-27,active
177,400,17881.81,13.84,2021-01-02,2023-06-23,active
178,333,19954.73,3.76,2021-08-17,2025-02-22,defaulted
179,443,49337.5,6.74,2021-12-22,2025-01-06,closed
180,331,32085.33,13.62,2022-09-03,2026-10-28,closed
181,333,10234.25,3.99,2021-01-21,2024-04-29,closed
182,201,36549.35,11.02,2024-12-08,2027-06-15,closed
183,248,19726.17,7.42,2024-07-12,2024-12-16,closed
184,104,40218.27,3.96,2022-09-27,2024-12-21,active
185,108,13469.69,11.65,2023-05-14,2024-10-29,defaulted
186,158,6000.84,14.06,2020-11-15,2023-10-27,defaulted
187,288,10904.76,10.79,2020-10-12,2022-12-05,defaulted
188,314,35903.79,14.18,2024-01-24,2026-04-06,active
189,3,42491.13,7.33,2024-01-15,2025-10-05,closed
190,134,16050.15,3.4,2022-10-03,2026-09-15,defaulted
191,319,10209.64,9.74,2025-08-05,2027-07-31,closed
192,369,46495.95,14.55,2025-06-14,2026-01-29,closed
193,450,13083.08,7.41,2025-07-22,2026-10-24,defaulted
194,179,47165.57,9.61,2021-05-26,2025-02-12,closed
195,484,12848.91,3.73,2021-12-17,2022-03-01,closed
196,267,28784.48,13.12,2024-10-21,2026-06-14,closed
197,381,47545.18,6.13,2023-05-04,2027-06-01,closed
198,306,19262.81,6.58,2025-04-22,2025-05-03,defaulted
199,287,42234.45,9.52,2024-11-11,2026-02-13,active
200,341,16889.4,10.72,2024-08-17,2025-06-21,defaulted
201,345,11609.23,4.46,2025-01-26,2026-11-17,defaulted
202,355,47634.19,9.07,2025-03-24,2026-03-02,defaulted
203,418,38186.75,8.67,2022-10-13,2027-02-06,defaulted
204,334,30716.5,12.89,2022-05-31,2025-02-21,closed
205,170,22601.77,13.97,2025-04-05,2025-10-20,closed
206,73,41669.13,11.29,2022-07-25,2027-05-16,active
207,473,34116.22,4.62,2020-08-16,2022-08-14,closed
208,141,4603.7,14.46,2022-11-27,2027-01-01,active
209,257,18170.02,6.34,2022-05-17,2024-11-17,active
210,473,44732.45,4.49,2022-03-02,2024-06-15,active
211,397,37047.58,6.39,2025-06-01,2026-11-22,defaulted
212,231,33701.13,9.57,2024-11-06,2025-08-25,defaulted
213,415,3809.71,10.25,2023-07-09,2023-10-14,active
214,363,32629.61,9.47,2021-12-13,2022-07-30,closed
215,359,8812.12,12.03,2021-02-14,2023-12-17,defaulted
216,122,20648.38,10.19,2023-07-01,2024-01-01,closed
217,119,40916.74,13.06,2021-05-27,2024-02-21,defaulted
218,84,19616.29,12.93,2023-05-27,2027-02-06,defaulted
219,210,18992.17,14.77,2025-06-05,2026-04-06,closed
220,7,38244.47,11.53,2021-10-04,2023-08-16,active
221,352,5596.37,5.18,2024-06-16,2025-05-02,active
222,172,34570.95,13.13,2021-11-03,2024-01-14,active
223,233,31152.64,13.2,2021-05-12,2022-10-03,defaulted
224,229,34264.01,5.6,2023-05-10,2025-04-10,defaulted
225,422,30148.13,10.6,2021-02-14,2027-01-25,closed
226,243,45033.32,13.64,2023-02-04,2024-12-16,defaulted
227,433,35993.75,11.95,2021-04-30,2027-05-19,active
228,120,28958.02,9.12,2022-09-11,2027-05-31,defaulted
229,177,31785.18,9.05,2021-08-27,2026-01-08,closed
230,174,40994.12,7.7,2025-05-13,2026-12-02,closed
231,279,26093.98,5.68,2024-05-04,2026-05-13,closed
232,197,6119.2,6.15,2025-04-22,2025-11-05,active
233,308,14650.78,9.19,2023-10-17,2025-02-03,defaulted
234,232,19715.91,12.04,2022-11-18,2024-12-30,active
235,368,13601.07,14.02,2022-01-03,2026-11-21,closed
236,87,35122.94,11.83,2023-08-13,2024-12-26,active
237,462,24769.3,14.44,2024-09-09,2026-07-28,active
238,215,7293.46,8.44,2025-02-03,2026-10-29,active
239,36,23669.94,9.55,2022-03-29,2024-08-04,defaulted
240,60,29692.34,9.16,2022-07-07,2026-07-13,closed
241,196,26699.87,8.27,2021-12-18,2023-10-29,closed
242,266,24822.91,5.94,2021-05-01,2024-03-30,active
243,111,9971.23,13.97,2024-04-11,2026-06-01,active
244,249,24603.97,6.23,2024-02-29,2026-10-31,defaulted
245,314,35648.71,6.65,2023-01-07,2024-12-06,active
246,320,39242.1,6.48,2023-08-29,2024-01-18,defaulted
247,495,18924.84,8.14,2021-03-20,2024-05-02,defaulted
248,295,42720.2,3.9,2024-12-14,2025-12-16,defaulted
249,274,38336.66,9.38,2022-03-21,2024-09-22,defaulted
250,293,47331.73,13.43,2021-08-28,2021-11-20,closed
251,191,27892.48,9.06,2022-03-30,2024-06-22,closed
252,335,3530.37,8.56,2022-05-20,2025-10-26,closed
253,398,22339.53,12.2,2021-01-27,2025-10-08,defaulted
254,431,19054.46,11.5,2025-02-11,2025-07-31,closed
255,161,13557.6,11.79,2022-08-21,2027-07-04,active
256,394,20199.74,10.17,2022-05-29,2026-02-07,closed
257,223,40276.57,8.79,2022-11-02,2024-06-01,closed
258,257,31075.66,6.51,2020-11-10,2026-08-20,closed
259,219,44597.0,11.37,2022-03-01,2025-04-25,closed
260,368,37883.56,3.47,2023-01-29,2024-12-28,active
261,63,24447.08,8.74,2021-10-28,2025-06-26,defaulted
262,298,15150.54,13.99,2021-11-24,2023-08-10,active
263,104,26027.23,5.03,2020-11-08,2025-09-29,defaulted
264,448,16258.57,10.96,2022-12-08,2025-11-12,active
265,36,49421.13,13.97,2022-02-21,2023-12-06,defaulted
266,309,1419.61,14.35,2024-04-28,2027-03-12,closed
267,62,31094.46,14.58,2022-09-03,2022-10-29,closed
268,168,41533.87,7.97,2023-05-16,2025-11-25,closed
269,253,2137.3,4.36,2022-07-10,2026-01-03,active
270,151,28885.48,7.94,2022-09-04,2024-05-15,closed
271,118,3394.31,9.27,2024-09-14,2027-02-28,closed
272,75,14976.5,5.81,2022-06-06,2026-02-19,defaulted
273,442,41567.44,13.41,2021-11-03,2024-08-11,active
274,425,21136.24,6.87,2023-08-16,2027-06-03,closed
275,393,23880.67,5.44,2022-03-31,2026-03-28,defaulted
276,285,46622.77,8.75,2021-03-11,2022-05-22,closed
277,89,19019.56,8.48,2023-04-27,2024-09-26,defaulted
278,92,4834.39,5.76,2022-01-28,2026-12-11,defaulted
279,281,49825.7,3.16,2023-05-24,2027-02-18,active
280,133,22833.78,12.72,2024-03-16,2026-03-19,defaulted
281,114,36645.19,4.46,2024-10-19,2025-12-30,closed
282,470,28345.55,3.56,2023-12-04,2027-02-28,defaulted
283,65,30126.67,7.64,2024-12-25,2025-04-01,closed
284,410,29189.84,10.24,2022-08-21,2025-11-11,defaulted
285,184,32404.6,13.96,2023-03-06,2023-08-20,active
286,259,28220.28,12.05,2021-05-13,2022-07-29,closed
287,112,7799.36,3.31,2025-01-18,2025-06-20,active
288,466,16931.45,5.11,2022-10-15,2023-07-31,active
289,488,15765.42,6.4,2021-08-04,2023-05-30,active
290,393,8971.21,3.91,2024-12-20,2026-09-09,closed
291,495,5420.22,11.58,2021-01-12,2025-09-21,closed
292,353,42317.63,13.28,2025-04-23,2026-04-03,defaulted
293,98,23198.72,13.33,2025-06-06,2026-07-18,closed
294,445,26667.87,3.28,2022-02-10,2022-10-03,active
295,351,7617.09,10.74,2025-06-11,2025-06-23,active
296,73,27127.41,12.35,2025-04-27,2025-06-20,defaulted
297,128,25838.16,11.98,2025-07-06,2026-11-16,closed
298,62,24279.95,3.94,2025-02-10,2026-11-10,active
299,344,12645.83,6.57,2022-11-09,2024-09-10,closed
300,8,21087.31,11.38,2021-10-15,2022-09-02,defaulted
301,375,3870.56,5.67,2023-10-23,2025-09-24,defaulted
302,13,16276.92,5.23,2022-03-28,2025-04-25,active
303,201,44286.65,6.71,2021-07-08,2024-10-11,active
304,39,30112.68,7.77,2025-03-05,2027-01-01,closed
305,156,17468.81,4.62,2023-09-24,2024-01-01,active
306,451,36474.64,6.79,2023-05-18,2026-07-04,active
307,144,49616.96,8.87,2024-12-10,2025-01-25,defaulted
308,209,4929.6,11.38,2021-03-10,2021-10-25,closed
309,189,14901.36,11.23,2024-10-04,2025-03-30,defaulted
310,454,18340.12,9.57,2023-10-10,2025-06-18,defaulted
311,180,33566.67,13.04,2024-09-04,2027-05-06,defaulted
312,163,26034.49,6.25,2021-11-29,2022-07-13,defaulted
313,325,4125.26,6.54,2025-02-04,2026-08-06,closed
314,87,17530.84,7.37,2023-12-31,2026-04-21,active
315,73,45697.41,11.73,2025-08-11,2025-08-15,closed
316,224,24309.98,7.62,2021-09-12,2023-05-19,defaulted
317,57,21225.45,5.86,2023-11-12,2026-08-21,closed
318,260,37197.21,7.23,2024-04-29,2025-04-24,active
319,403,27919.63,6.78,2025-07-06,2025-10-07,closed
320,287,4870.58,10.79,2023-04-14,2027-04-21,active
321,291,19339.9,6.18,2023-05-30,2027-03-17,active
322,315,31887.21,5.21,2024-11-07,2025-01-09,active
323,297,38218.11,6.66,2022-04-15,2023-02-09,closed
324,50,34815.7,13.67,2023-01-31,2024-04-29,active
325,77,40873.8,4.34,2025-04-01,2026-07-05,active
326,159,17316.05,11.17,2022-03-08,2023-08-27,closed
327,392,11525.46,3.39,2025-05-01,2026-10-11,closed
328,438,35127.99,9.71,2024-10-31,2025-02-18,defaulted
329,175,36358.68,3.37,2024-02-02,2026-02-14,active
330,498,17035.55,12.61,2021-11-25,2022-12-19,defaulted
331,279,45219.62,4.8,2025-02-18,2027-04-25,defaulted
332,244,49044.92,7.62,2020-10-15,2020-12-09,defaulted
333,258,42009.9,13.54,2022-03-28,2026-03-09,active
334,244,24919.42,3.35,2022-08-13,2024-01-01,defaulted
335,92,42204.82,4.6,2021-08-17,2024-06-27,defaulted
336,49,3255.81,11.08,2025-05-16,2025-06-30,active
337,347,30870.22,14.24,2021-05-04,2027-02-12,closed
338,447,26610.46,11.24,2024-09-28,2025-11-18,active
339,223,17930.06,6.64,2025-02-08,2027-07-14,active
340,99,28028.3,8.13,2022-12-31,2026-09-05,defaulted
341,143,13692.56,14.83,2020-11-22,2026-04-09,defaulted
342,25,1759.55,9.88,2023-02-18,2025-07-25,active
343,472,49697.47,7.17,2022-12-22,2024-11-20,active
344,497,21898.24,9.59,2021-03-02,2027-04-02,closed
345,77,33877.81,14.08,2022-08-18,2027-06-10,defaulted
346,85,7282.77,11.9,2024-01-27,2024-12-16,closed
347,132,22681.98,14.26,2025-01-04,2027-03-23,defaulted
348,293,36093.08,4.3,2020-08-17,2027-06-17,defaulted
349,153,4702.29,5.83,2021-09-15,2025-12-24,active
350,278,41009.55,9.26,2021-03-04,2021-03-11,active
351,224,20178.75,6.58,2021-06-11,2024-01-02,active
352,350,4874.56,14.98,2022-08-06,2024-04-20,active
353,494,48827.4,4.84,2023-10-01,2024-11-24,active
354,193,44674.16,3.29,2024-04-28,2026-09-28,closed
355,391,18246.17,3.27,2023-12-10,2025-01-28,defaulted
356,500,12246.23,6.18,2025-06-26,2027-06-10,active
357,237,17059.04,6.59,2023-05-17,2024-03-30,defaulted
358,12,39210.68,3.39,2020-11-16,2026-12-09,defaulted
359,140,29364.53,3.82,2021-12-02,2023-11-09,closed
360,67,41417.29,12.05,2023-12-08,2026-04-01,defaulted
361,265,41378.56,14.79,2025-04-22,2025-07-30,active
362,370,45972.86,3.69,2021-10-07,2027-04-20,defaulted
363,398,29530.06,11.06,2024-07-24,2027-04-11,defaulted
364,337,7519.86,6.77,2023-08-11,2025-09-21,active
365,259,46933.92,6.65,2025-06-19,2025-07-18,defaulted
366,258,15848.16,7.58,2022-04-01,2026-09-16,defaulted
367,237,39659.79,8.55,2022-01-17,2025-08-31,defaulted
368,83,43344.23,6.25,2022-08-17,2023-10-23,defaulted
369,318,38677.41,3.92,2022-12-03,2023-12-16,active
370,41,7351.29,12.43,2022-05-23,2023-12-18,active
371,439,36955.88,9.13,2025-06-27,2025-10-07,active
372,104,38760.91,11.17,2022-03-18,2023-01-20,active
373,237,9787.55,13.41,2022-04-08,2026-09-16,defaulted
374,57,5130.1,6.82,2023-12-09,2024-10-22,closed
375,210,34949.8,13.47,2021-03-12,2026-06-25,closed
376,269,43060.51,11.61,2022-04-01,2024-06-12,active
377,411,2539.62,9.12,2025-01-31,2026-02-17,defaulted
378,189,4847.18,9.51,2024-09-29,2026-06-29,defaulted
379,9,33247.16,10.9,2025-04-30,2027-03-19,closed
380,334,10127.27,12.48,2025-06-05,2027-01-01,active
381,474,12749.3,6.54,2024-09-14,2027-08-06,active
382,200,46671.91,10.55,2021-04-06,2027-05-07,defaulted
383,483,20083.0,6.32,2021-10-09,2022-08-05,active
384,54,33868.41,14.56,2025-06-08,2027-06-02,active
385,375,48842.21,10.37,2022-03-25,2023-01-31,defaulted
386,230,7045.51,4.89,2025-06-26,2026-09-29,active
387,487,41708.92,5.86,2022-10-04,2023-04-22,active
388,266,44733.28,12.72,2021-04-26,2026-04-14,closed
389,265,5953.52,13.38,2020-10-08,2024-03-22,defaulted
390,253,47184.46,13.1,2023-12-22,2027-06-09,active
391,94,29838.85,14.75,2023-08-15,2026-08-13,defaulted
392,352,42001.9,9.7,2023-06-09,2024-01-27,closed
393,429,22407.14,9.32,2021-08-31,2022-05-11,closed
394,168,31702.45,11.93,2021-09-21,2023-07-24,active
395,335,12191.69,12.99,2020-12-11,2021-06-18,defaulted
396,65,15898.33,4.74,2022-04-15,2023-12-20,closed
397,487,22717.24,14.22,2021-09-03,2024-09-28,active
398,74,24258.81,5.55,2024-08-11,2027-03-18,active
399,260,14573.34,6.69,2024-07-05,2027-03-01,closed
400,362,34039.68,10.41,2021-05-13,2023-03-10,defaulted
401,201,46828.33,7.48,2023-03-20,2025-10-13,active
402,222,42099.36,10.57,2024-03-12,2024-12-22,closed
403,343,41194.54,6.77,2024-12-08,2025-02-04,closed
404,122,7813.03,11.61,2023-11-06,2023-11-14,closed
405,389,40444.95,11.89,2021-11-09,2024-04-18,defaulted
406,372,23860.51,13.96,2024-11-13,2025-04-26,active
407,134,45129.19,8.19,2021-11-30,2023-05-05,closed
408,107,46753.51,14.6,2021-11-30,2023-06-21,defaulted
409,25,28198.34,10.41,2020-11-18,2026-03-23,defaulted
410,41,1244.4,11.21,2020-10-02,2022-06-02,active
411,483,43079.26,12.91,2023-09-24,2026-01-02,active
412,87,42697.18,3.77,2024-09-30,2024-10-24,defaulted
413,6,47252.33,3.41,2021-12-07,2026-04-20,active
414,266,25983.97,9.93,2025-01-04,2025-05-13,closed
415,178,45495.8,12.05,2023-03-09,2023-09-10,closed
416,39,25265.05,8.04,2025-01-27,2026-03-09,closed
417,147,32011.08,10.88,2021-09-20,2026-11-26,active
418,201,32914.52,14.66,2022-08-24,2023-12-14,defaulted
419,454,36621.08,9.76,2022-08-23,2027-08-11,closed
420,128,32965.23,9.03,2024-03-26,2026-11-27,active
421,116,34143.27,9.64,2024-08-12,2024-11-30,defaulted
422,217,41989.03,6.07,2023-02-03,2026-10-04,active
423,391,47649.81,7.68,2025-01-29,2026-02-05,defaulted
424,297,37330.29,4.33,2023-04-25,2024-07-18,active
425,67,9728.46,10.18,2021-11-25,2025-10-05,closed
426,40,24000.45,14.85,2023-08-21,2023-11-27,closed
427,284,45125.44,3.74,2022-03-28,2022-10-11,closed
428,33,44676.99,14.13,2025-03-17,2025-08-04,active
429,391,35297.85,9.97,2025-07-18,2027-04-16,closed
430,492,27449.82,8.56,2024-05-23,2025-06-12,closed
431,203,26106.51,3.67,2022-11-30,2025-10-26,closed
432,21,25722.8,9.8,2023-07-19,2024-01-29,defaulted
433,391,20635.52,12.14,2021-01-25,2023-01-04,active
434,367,37873.53,8.87,2021-12-03,2023-04-06,active
435,158,33396.74,10.16,2022-02-04,2022-02-18,active
436,76,28452.3,5.66,2022-02-09,2023-03-12,defaulted
437,32,46959.06,10.87,2023-07-14,2025-06-19,active
438,296,47652.39,6.53,2025-07-07,2026-06-07,defaulted
439,168,32612.69,13.67,2020-12-03,2026-01-07,defaulted
440,356,25869.17,13.61,2021-04-10,2021-08-28,active
441,39,9149.65,8.46,2023-02-10,2024-08-10,closed
442,200,20585.98,8.75,2021-05-26,2022-10-24,defaulted
443,403,8847.03,3.75,2022-04-19,2025-12-01,closed
444,238,11019.1,6.68,2025-05-09,2025-07-16,defaulted
445,451,44477.89,7.22,2024-09-10,2027-01-30,closed
446,21,28324.89,4.66,2021-12-28,2027-06-22,closed
447,481,45865.44,3.79,2023-04-24,2026-07-01,closed
448,24,31059.99,11.83,2021-12-05,2024-12-16,active
449,485,36954.52,8.05,2024-04-20,2024-05-11,active
450,73,35427.39,9.2,2022-08-21,2027-08-01,closed
451,60,41151.02,7.79,2024-12-12,2027-07-30,closed
452,30,9719.19,7.68,2025-05-29,2025-11-29,active
453,4,49987.71,12.22,2021-07-28,2025-08-01,closed
454,184,31579.13,6.64,2024-01-30,2026-08-17,active
455,219,1096.09,4.76,2023-11-03,2027-06-13,defaulted
456,79,16154.02,14.93,2024-02-01,2024-09-16,closed
457,377,23478.57,7.89,2023-02-26,2026-10-01,closed
458,307,38206.91,4.28,2024-06-19,2027-06-12,active
